NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
1,1808,020.Apr/2023,B/KWU.6.2/UND.30.=/D.IV.M.EKON.1/04/2023,2023-04-06,"Rapat Koordinasi Teknis Festival Ekonomi Keuangan Digital Indonesis (FEKDI) 2023",KEMENKO,"Rapat Koordinasi Teknis Festival Ekonomi Keuangan Digital Indonesis (FEKDI) 2023 pada hari Jum'at, 14 April 2023 pukul 09.00",11-Apr-23,,,,,
2,1807,019.Apr/2023,RP.05/1562/2023,2023-04-10,Undangan,"Pemerintah Kota Surakarta","Rapat Koordinasi Pengendalian Operasional Kegiatan (RAKORPOK) Kota Surakarta Triwulan I TA. 2023",11-Apr-23,"Saya hadir, Yth. Ka. TU mohon dibantu menyediakan bahannya",Undangan,13-Apr-23,,
3,1806,018.Apr/2023,025/UN27.02.719/DP/2023,2023-04-10,"Surat Permohonan Izin Observasi","Universitas Negeri Semarang","Melakukan Observasi",11-Apr-23,"Diterima/Komunikasi Dengan M.Tegar",Permohonan,11-Apr-23,,
4,1805,017.Apr/2023,084/SOCMEDIA/III/2023,2023-04-05,"Surat Perizinan Produksi","SOC Media Group","Permohonan izin photoshoot dan take video reels untuk project SOC Media Group bersama Honda Jateng",10-Apr-23,"Fasilitasi (M.Susilo)",Permohonan,,,
5,1804,016.Apr/2023,238/A/FT/UTP/IV/2023,2023-04-03,"Surat pengantar izin survey","Univ Tunas Pembangunan Kota Surakarta","Izin survey & permohonan Daata",10-Apr-23,"Fasilitasi (M. Susilo & M. Danny)",Permohonan,10-Apr-23,,
6,1803,015.Apr/2023,KP.04.00/2668/IV/2023,2023-04-06,Undangan,"Badan Kepegawaian dan Pengembangan Sumberdaya Manusia","Undangan Penjelasan Teknis LMS",10-Apr-23,"Saya hadir. Nuwun",Undangan,12-Apr-23,,
7,1802,014.Apr/2023,8/827/KI/IV/2023,2023-04-06,"Dukungan data dan informasi","Dinas Komunikasi, Informatika, Statistika dan Persandian Kota Surakarta","Dukungan data dan informasi untuk PPID Kota Surakarta",10-Apr-23,"Ka. TU tolong ditindaklanjuti berkoordinasi dengan Bendahara BLUD tentang laporan keuangan BLUD",,,,
8,1801,013.Apr/2023,2022/E/GOV/SB/SPID/III/2023,2023-03-28,"Undangan Acara Pengumuman Pemenang Kompetisi Shopee Barokah","PT. Shopee International Indonesia","Pengembangan Bisnis Digital Melalui Program Shopee Barokah (Pelatihan UMKM dan Kompetisi Antar Santri)",06-Apr-23,"Pak Untung Hadiri",Undangan,06-Apr-23,"15.00 - 17.00","Gedung Gumarang Solo Technopark"
9,1800,012.Apr/2023,PW.00/1492/2023,2023-04-05,"Pengendalian Gratifikasi dan Penggunaan Kendaraan Dinas Pada Hari raya Lebaran di Lingkungan Kota Surakarta tahun 2023","Pemerintah Kota Surakarta","Pengendalian Gratifikasi dan Penggunaan Kendaraan Dinas Pada Hari raya Lebaran di Lingkungan Kota Surakarta tahun 2023",05-Apr-23,"Ka.TU mohon dipedomani dan dilakukan penyebarluasan informasi di lingkungan KST berkoordinasi dengan HRD. Nuwun",Edaran,,,
10,1799,011.Apr/2023,TM.00.07/1495/2023,2023-04-04,Undangan,"Pemerintah Kota Surakarta","undangan rapat konsolidasi metode penghitungan unsur TPP dari perangkat daerah pengampu BLUD",05-Apr-23,"Saya hadir. Nuwun",Undangan,05-Apr-23,"09.00 - Selesai","Ruang Rapat Nata Praja"
